YEAR,SERIAL,REGION,NFAMS,PERNUM,RACE,AGE,SEX,EMPSTAT,OCC,UHRSWORKT,WKSTAT,JOBCERT,EDUC,INCWAGE,OINCWAGE
2015,16566,12,1,1,100,31,1,10,1910,50,11,,111,100000.0,0.0
2020,49554,33,1,3,100,8,1,0,0,999,99,99.0,1,,
2019,94327,42,1,2,651,37,2,36,0,999,99,,73,0.0,0.0
2011,14553,12,1,1,100,80,2,36,0,999,99,,73,0.0,0.0
2018,31356,22,1,3,100,19,2,34,0,999,99,,81,0.0,0.0
2020,12617,12,1,4,100,10,1,0,0,999,99,,1,99999999.0,99999999.0
2021,37054,41,1,1,100,68,1,36,0,999,99,99.0,20,,
2021,44930,31,1,1,100,73,2,10,5740,5,41,99.0,73,,
2021,51047,12,1,2,100,25,2,10,2014,24,41,99.0,111,,
2010,7632,11,1,3,805,19,1,10,5260,5,41,,81,1500.0,500.0
2021,35660,41,1,1,100,69,1,36,0,999,99,99.0,73,,
2020,54351,11,1,3,651,7,2,0,0,999,99,99.0,1,,
2017,33271,22,1,2,100,55,2,10,3500,30,41,,81,35000.0,0.0
2010,79917,41,1,2,100,71,2,10,5810,35,11,,50,15600.0,0.0
2021,45817,31,1,1,100,48,1,10,4700,40,11,99.0,73,,
2012,6599,11,1,2,100,16,1,34,0,999,99,,50,2000.0,0.0
2019,19201,21,1,5,100,11,1,0,0,999,99,,1,99999999.0,99999999.0
2021,33828,22,1,1,100,58,1,10,9130,40,11,2.0,50,,
2022,54146,31,1,1,100,62,1,36,0,999,99,99.0,123,,
2011,13441,12,1,1,200,33,2,32,0,999,99,,71,0.0,0.0
2020,56718,32,1,2,100,50,2,10,10,37,11,99.0,123,,
2021,25957,33,1,2,200,51,1,10,4700,40,11,99.0,73,,
2010,95844,42,1,2,651,80,1,36,0,999,99,,40,0.0,0.0
2021,56396,33,1,4,100,12,1,0,0,999,99,,1,99999999.0,99999999.0
2019,57426,32,1,3,100,3,1,0,0,999,99,99.0,1,,
2021,18882,42,1,3,813,47,2,10,2310,40,11,99.0,123,,
2009,48291,31,1,2,100,62,2,12,20,40,13,,111,125000.0,0.0
2013,86321,42,1,3,652,3,1,0,0,999,99,,1,99999999.0,99999999.0
2021,1793,42,1,3,652,10,2,0,0,999,99,99.0,1,,
2020,41293,41,1,1,100,26,1,21,4700,999,50,99.0,73,,
2022,14056,31,1,1,100,63,2,36,0,999,99,99.0,81,,
2022,29830,11,1,2,100,52,1,10,230,997,11,99.0,123,,
2020,21199,21,1,2,200,8,1,0,0,999,99,99.0,1,,
2021,84553,42,1,1,100,56,2,10,5350,40,11,,81,41000.0,0.0
2009,49472,31,1,3,100,23,1,10,1010,20,41,,81,5000.0,0.0
2022,68322,41,3,2,100,58,1,34,0,999,99,99.0,50,,
2020,20039,41,1,4,100,7,1,0,0,999,99,99.0,1,,
2021,29169,11,1,1,100,69,1,36,0,999,99,99.0,81,,
2009,37190,22,1,1,100,42,1,21,4210,999,50,,81,22000.0,0.0
2010,26428,21,1,1,300,58,2,10,5400,25,22,,73,0.0,0.0
2014,6895,11,1,1,100,69,2,36,0,999,99,,60,0.0,0.0
2009,90885,42,1,2,100,34,2,34,0,999,99,,30,0.0,0.0
2018,38355,31,1,1,100,51,1,10,6200,40,11,,73,48000.0,0.0
2016,23098,21,1,3,100,40,2,10,4510,2,41,,111,18000.0,0.0
2019,70251,41,1,5,100,11,2,0,0,999,99,,1,99999999.0,99999999.0
2021,4042,33,2,3,651,21,2,34,0,999,99,99.0,50,,
2020,49303,33,1,1,100,29,1,10,5110,40,11,99.0,111,,
2022,44513,31,1,1,100,30,1,10,5000,50,11,99.0,111,,
2013,6084,11,1,2,100,39,1,10,940,50,11,,111,210000.0,0.0
2014,64649,42,7,3,100,28,1,10,4250,36,11,,111,28973.0,12000.0
2020,5316,42,1,1,100,65,1,36,0,999,99,99.0,123,,
2014,52159,41,1,2,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2021,75329,41,1,1,100,35,1,10,2040,80,11,,123,30002.0,0.0
2020,24754,32,1,1,100,38,1,10,3430,40,11,1.0,92,,
2021,12173,31,1,1,200,36,2,10,820,40,12,99.0,123,,
2022,44656,31,1,3,100,4,2,0,0,999,99,99.0,1,,
2015,31406,22,1,2,100,43,2,34,9640,999,99,,73,0.0,0.0
2020,34891,22,1,1,100,59,2,21,640,999,50,99.0,111,,
2020,17846,21,1,1,100,58,1,10,20,50,11,,73,60000.0,0.0
2018,30002,22,1,1,651,41,1,10,1020,40,11,,111,120000.0,0.0
2012,24742,21,1,1,100,38,2,10,2310,50,11,,123,75000.0,0.0
2018,4044,11,3,4,100,23,1,10,3930,55,11,,73,45000.0,15000.0
2012,38879,22,1,3,100,15,2,34,0,999,99,,30,0.0,0.0
2019,14023,12,1,1,100,50,2,10,700,40,11,,91,35000.0,0.0
2012,66423,33,1,4,100,13,1,0,0,999,99,,1,99999999.0,99999999.0
2011,51450,31,1,2,100,41,2,10,3255,997,11,,92,75000.0,0.0
2016,53483,32,1,2,100,35,2,34,0,999,99,,111,0.0,0.0
2013,61204,32,1,4,100,34,1,10,5620,30,22,,73,1200.0,0.0
2012,92216,42,1,1,100,49,2,10,4920,50,11,,81,30000.0,0.0
2017,40916,31,1,5,100,7,2,0,0,999,99,,1,99999999.0,99999999.0
2015,62301,32,1,2,100,34,1,10,2310,40,11,,123,16000.0,0.0
2020,3283,41,1,4,100,10,1,0,0,999,99,99.0,1,,
2020,38968,11,1,4,100,27,2,34,0,999,99,99.0,73,,
2009,48664,31,1,2,100,34,2,10,5120,40,11,,81,40000.0,0.0
2019,12192,12,1,1,100,50,2,10,4920,50,11,,111,0.0,0.0
2021,61934,11,1,1,100,76,2,36,0,999,99,99.0,73,,
2021,4879,42,1,4,100,19,1,10,5400,30,41,99.0,81,,
2009,66132,33,1,1,100,28,2,10,3130,40,11,,124,55000.0,0.0
2020,29001,11,1,2,100,51,1,10,440,997,11,2.0,73,,
2020,6843,42,1,1,100,35,1,10,6050,54,12,99.0,20,,
2019,40468,12,1,1,100,54,1,10,800,40,11,2.0,111,,
2016,12192,12,1,5,100,10,2,0,0,999,99,,1,99999999.0,99999999.0
2020,59233,33,4,1,651,25,2,34,0,999,99,99.0,111,,
2020,36905,22,2,1,100,27,1,10,1900,50,11,2.0,81,,
2019,51857,31,1,3,100,8,1,0,0,999,99,,1,99999999.0,99999999.0
2021,18381,42,1,2,809,35,2,10,5860,40,11,99.0,73,,
2020,50036,42,1,5,100,16,1,34,0,999,99,99.0,50,,
2011,87682,42,1,4,100,11,2,0,0,999,99,,1,99999999.0,99999999.0
2021,29932,11,1,4,100,14,2,0,0,999,99,99.0,1,,
2013,45194,31,1,1,200,47,1,34,0,999,99,,73,0.0,0.0
2020,19084,42,1,2,100,27,1,1,0,999,99,99.0,111,,
2020,30153,11,1,1,100,80,1,10,1551,40,11,2.0,91,,
2018,6022,11,1,3,100,9,2,0,0,999,99,,1,99999999.0,99999999.0
2021,7356,42,1,1,100,28,2,10,3255,36,11,2.0,111,,
2011,13413,12,1,2,100,80,1,36,0,999,99,,123,0.0,0.0
2021,66380,31,1,1,100,27,1,10,8740,40,11,2.0,73,,
2011,23896,21,1,2,651,64,1,10,4760,35,11,,111,100000.0,0.0
2019,3675,33,1,1,100,43,1,10,6355,40,11,2.0,91,,
2021,12960,31,4,3,100,24,1,10,2850,50,11,99.0,111,,
2017,17974,21,1,3,100,2,2,0,0,999,99,,1,99999999.0,99999999.0
2020,20347,41,1,3,100,22,1,10,9130,24,41,99.0,81,,
2021,46992,22,1,1,100,36,2,10,1750,50,11,99.0,124,,
2019,37995,31,1,2,200,29,1,10,3850,40,11,,92,40000.0,0.0
2010,38221,22,1,3,100,17,2,34,0,999,99,,50,0.0,0.0
2021,34974,41,1,1,100,64,1,34,0,999,99,99.0,81,,
